03-Jun;;;;;;
;;;;;;
Saldo em conta:;;;;;;
;;;;;;
R$ 9.263,06;;;;;;
;;;;;;
04-Jun;;05-Jun;;08-Jun;;
;;;;;;
D1 R$ -332,40;;D2 R$ -6.107,00;;D3 R$ 0,00;;DN R$ 0,00
;;;;;;
Saldo final:;;;;;;
;;;;;;
R$ 2.823,66;;;;;;
;;;;;;
Período:;;;;;;
Visualização:;;;;;;
Versão Clear;;;;;;
Versão CBLC;;;;;;
Notas;;;;;;
;;;;;;
2020;;;;;;
;;;;;;
Abril;;;;;;
;;;;;;
Dt Liq;Dt Mov;Descrição;Valor (R$);Saldo (R$);;
Seg 25;Seg 25;ESTORNO PREVIA CHAMADA DE MARGEM;13,88;4.742,45;;
Seg 25;Seg 25;CHAMADA DE MARGEM;-13,88;4.728,57;;
Ter 26;Sex 22;BMF - AJUSTE DE POSIÇÃO 22/05/2020 556046 CCM ;135;4.863,57;;
Ter 26;Seg 25;BMF - AJUSTE DE POSIÇÃO 25/05/2020 579508;-256,5;4.607,07;;
Ter 26;Seg 25;IRRF S/ DAY TRADE 25/05/2020;-1,1;4.605,97;;
Ter 26;Seg 25;AJUSTE DAY-TRADE 25/05/2020 579509 WIN ;117;4.722,97;;
Ter 26;Seg 25;BMF - TAXA DE REGISTRO 25/05/2020;-4,48;4.718,49;;
Ter 26;Seg 25;BMF - TAXA EMOLUMENTOS 25/05/2020;-2,24;4.716,25;;
Ter 26;Ter 26;DEVOLUÇÃO DE MARGEM;35,89;4.752,14;;
Ter 26;Ter 26;DEVOLUÇÃO DE MARGEM TARDE;11,22;4.763,36;;
Qua 27;Ter 26;BMF - AJUSTE DE POSIÇÃO 26/05/2020 602908;-283,5;4.479,86;;
Qua 27;Qua 27;DEVOLUÇÃO DE MARGEM TARDE;18,15;4.498,01;;
Qui 28;Qua 27;BMF - AJUSTE DE POSIÇÃO 27/05/2020 627927;-328,5;4.169,51;;
Qui 28;Qua 27;AJUSTE DAY-TRADE 27/05/2020 627928 WIN ;2;4.171,51;;
Qui 28;Qua 27;BMF - TAXA DE REGISTRO 27/05/2020;-7,68;4.163,83;;
Qui 28;Qua 27;BMF - TAXA EMOLUMENTOS 27/05/2020;-3,84;4.159,99;;
Qui 28;Qui 28;DEVOLUÇÃO DE MARGEM TARDE;48,7;4.208,69;;
Sex 29;Qui 28;BMF - TAXA DE REGISTRO 28/05/2020;-20,16;4.188,53;;
Sex 29;Qui 28;BMF - TAXA EMOLUMENTOS 28/05/2020;-10,08;4.178,45;;
Sex 29;Qui 28;BMF - AJUSTE DE POSIÇÃO 28/05/2020 652186 CCM ;198;4.376,45;;
Sex 29;Qui 28;AJUSTE DAY-TRADE 28/05/2020 652187 WIN ;-371;4.005,45;;
Sex 29;Sex 29;PREVIA CHAMADA DE MARGEM;-31,22;3.974,23;;
Sex 29;Sex 29;ESTORNO PREVIA CHAMADA DE MARGEM;31,22;4.005,45;;
Sex 29;Sex 29;CHAMADA DE MARGEM;-31,22;3.974,23;;
;;;;;;
2020;;;;;;
;;;;;;
Junho;;;;;;
;;;;;;
Dt Liq;Dt Mov;Descrição;Valor (R$);Saldo (R$);;
Seg 1;Seg 1;DEVOLUÇÃO DE MARGEM TARDE;18,76;3.992,99;;
Seg 1;Sex 29;BMF - TAXA DE REGISTRO 29/05/2020;-8;3.984,99;;
Seg 1;Sex 29;BMF - TAXA EMOLUMENTOS 29/05/2020;-4;3.980,99;;
Seg 1;Sex 29;BMF - AJUSTE DE POSIÇÃO 29/05/2020 675810;-94,5;3.886,49;;
Seg 1;Sex 29;IRRF S/ DAY TRADE 29/05/2020;-0,57;3.885,92;;
Seg 1;Sex 29;AJUSTE DAY-TRADE 29/05/2020 675811 WIN ;69;3.954,92;;
Ter 2;Seg 1;BMF - AJUSTE DE POSIÇÃO 01/06/2020 698817;-81;3.873,92;;
Ter 2;Seg 1;AJUSTE DAY-TRADE 01/06/2020 698818 WIN ;-32;3.841,92;;
Ter 2;Seg 1;BMF - TAXA DE REGISTRO 01/06/2020;-6,08;3.835,84;;
Ter 2;Seg 1;BMF - TAXA EMOLUMENTOS 01/06/2020;-3,04;3.832,80;;
Ter 2;Ter 2;TED - RECEBIMENTO DE TED - SPB ;5.000,00;8.832,80;;
Ter 2;Ter 2;DEVOLUÇÃO DE MARGEM TARDE;3,21;8.836,01;;
Qua 3;Ter 2;BMF - TAXA DE REGISTRO 02/06/2020;-0,45;8.835,56;;
Qua 3;Ter 2;BMF - TAXA EMOLUMENTOS 02/06/2020;-0,27;8.835,29;;
Qua 3;Ter 2;BMF - TAXA DE REGISTRO 02/06/2020;-16,2;8.819,09;;
Qua 3;Ter 2;BMF - TAXA EMOLUMENTOS 02/06/2020;-8,1;8.810,99;;
Qua 3;Ter 2;BMF - AJUSTE DE POSIÇÃO 02/06/2020 722646;-252;8.558,99;;
Qua 3;Ter 2;BMF - AJUSTE DE POSIÇÃO 02/06/2020 722647;-215,6;8.343,39;;
Qua 3;Ter 2;AJUSTE DAY-TRADE 02/06/2020 722647 WIN ;-366;7.977,39;;
Qua 3;Qua 3;* PROV * PREVIA CHAMADA DE MARGEM;-5.252,05;2.725,34;;
Qua 3;Qua 3;* PROV * ESTORNO PREVIA CHAMADA DE MARGEM;5.252,05;7.977,39;;
Qua 3;Qua 3;* PROV * CHAMADA DE MARGEM;-4.675,80;3.301,59;;
